,Views,Likes,Dislikes,class,LDA Feature,Bert Feature,LSA Feature
143,966850,26354,828,0,0,1,1
144,1009232,134932,684,0,0,1,1
145,1230859,60245,650,0,0,1,1
146,525063,19976,226,0,0,1,1
147,296673,17721,278,0,0,1,1
148,656606,41401,1706,0,1,1,1
149,2067033,68353,1860,0,0,1,1
150,1687124,81479,1474,0,0,1,1
151,839745,102699,567,0,0,1,1
152,819705,68459,402,0,1,0,1
153,980055,36060,1347,0,0,1,1
154,471265,13724,149,0,0,1,1
